Typical Measured Spectrum of Semrock FF01-607/70 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
301.0	4.1609e-07
301.2	4.1137e-07
301.4	4.067e-07
301.6	4.0208e-07
301.8	3.9752e-07
302.0	3.9301e-07
302.2	3.8855e-07
302.4	3.8414e-07
302.6	3.7978e-07
302.8	3.7547e-07
303.0	3.7121e-07
303.2	3.67e-07
303.4	3.629e-07
303.6	3.5887e-07
303.8	3.5489e-07
304.0	3.5095e-07
304.2	3.4706e-07
304.4	3.432e-07
304.6	3.3939e-07
304.8	3.3563e-07
305.0	3.319e-07
305.2	3.2822e-07
305.4	3.2458e-07
305.6	3.2097e-07
305.8	3.1741e-07
306.0	3.1425e-07
306.2	3.1352e-07
306.4	3.128e-07
306.6	3.1208e-07
306.8	3.1136e-07
307.0	3.1064e-07
307.2	3.0992e-07
307.4	3.092e-07
307.6	3.0849e-07
307.8	3.0777e-07
308.0	3.0706e-07
308.2	3.0635e-07
308.4	3.0564e-07
308.6	3.0494e-07
308.8	3.0423e-07
309.0	3.0353e-07
309.2	3.0283e-07
309.4	3.0213e-07
309.6	3.0143e-07
309.8	2.9985e-07
310.0	2.9822e-07
310.2	2.966e-07
310.4	2.9498e-07
310.6	2.9337e-07
310.8	2.9177e-07
311.0	2.9019e-07
311.2	2.886e-07
311.4	2.8703e-07
311.6	2.8547e-07
311.8	2.8391e-07
312.0	2.8237e-07
312.2	2.8083e-07
312.4	2.793e-07
312.6	2.7778e-07
312.8	2.7626e-07
313.0	2.7476e-07
313.2	2.7326e-07
313.4	2.719e-07
313.6	2.7059e-07
313.8	2.6928e-07
314.0	2.6798e-07
314.2	2.6669e-07
314.4	2.654e-07
314.6	2.6412e-07
314.8	2.6285e-07
315.0	2.6158e-07
315.2	2.6032e-07
315.4	2.5906e-07
315.6	2.5781e-07
315.8	2.5657e-07
316.0	2.553e-07
316.2	2.538e-07
316.4	2.5232e-07
316.6	2.5084e-07
316.8	2.4938e-07
317.0	2.4792e-07
317.2	2.4647e-07
317.4	2.4503e-07
317.6	2.436e-07
317.8	2.4217e-07
318.0	2.4076e-07
318.2	2.3935e-07
318.4	2.3795e-07
318.6	2.3656e-07
318.8	2.3518e-07
319.0	2.338e-07
319.2	2.3244e-07
319.4	2.3108e-07
319.6	2.2973e-07
319.8	2.4654e-07
320.0	2.6622e-07
320.2	2.8748e-07
320.4	3.1044e-07
320.6	3.3523e-07
320.8	3.6199e-07
321.0	3.909e-07
321.2	4.2211e-07
321.4	4.5582e-07
321.6	4.9222e-07
321.8	5.3152e-07
322.0	5.7397e-07
322.2	6.198e-07
322.4	6.6929e-07
322.6	7.2273e-07
322.8	7.8044e-07
323.0	8.4276e-07
323.2	9.1006e-07
323.4	8.5794e-07
323.6	7.6308e-07
323.8	6.787e-07
324.0	6.0366e-07
324.2	5.3691e-07
324.4	4.7754e-07
324.6	4.2474e-07
324.8	3.7778e-07
325.0	3.3601e-07
325.2	2.9885e-07
325.4	2.6581e-07
325.6	2.3642e-07
325.8	2.1028e-07
326.0	1.8957e-07
326.2	1.8705e-07
326.4	1.8456e-07
326.6	1.821e-07
326.8	1.7968e-07
327.0	1.7729e-07
327.2	1.7494e-07
327.4	1.7261e-07
327.6	1.7031e-07
327.8	1.6805e-07
328.0	1.6581e-07
328.2	1.6361e-07
328.4	1.6143e-07
328.6	1.5929e-07
328.8	1.5717e-07
329.0	1.5508e-07
329.2	1.5302e-07
329.4	1.5098e-07
329.6	1.4897e-07
329.8	1.559e-07
330.0	1.6381e-07
330.2	1.7213e-07
330.4	1.8087e-07
330.6	1.9005e-07
330.8	1.997e-07
331.0	2.0983e-07
331.2	2.2048e-07
331.4	2.3168e-07
331.6	2.4344e-07
331.8	2.558e-07
332.0	2.6878e-07
332.2	2.8243e-07
332.4	2.9677e-07
332.6	3.1183e-07
332.8	3.2766e-07
333.0	3.443e-07
333.2	3.6177e-07
333.4	3.4311e-07
333.6	3.139e-07
333.8	2.8717e-07
334.0	2.6272e-07
334.2	2.4035e-07
334.4	2.1989e-07
334.6	2.0117e-07
334.8	1.8404e-07
335.0	1.6837e-07
335.2	1.5403e-07
335.4	1.4092e-07
335.6	1.2892e-07
335.8	1.1794e-07
336.0	1.1206e-07
336.2	1.2649e-07
336.4	1.4278e-07
336.6	1.6117e-07
336.8	1.8192e-07
337.0	2.0534e-07
337.2	2.3179e-07
337.4	2.6163e-07
337.6	2.9532e-07
337.8	3.3335e-07
338.0	3.7628e-07
338.2	4.2473e-07
338.4	4.7943e-07
338.6	5.4116e-07
338.8	6.1085e-07
339.0	6.8951e-07
339.2	7.783e-07
339.4	8.7852e-07
339.6	9.9164e-07
339.8	9.8694e-07
340.0	9.7439e-07
340.2	9.62e-07
340.4	9.4978e-07
340.6	9.377e-07
340.8	9.2578e-07
341.0	9.1401e-07
341.2	9.024e-07
341.4	8.9092e-07
341.6	8.796e-07
341.8	8.6842e-07
342.0	8.5738e-07
342.2	8.4648e-07
342.4	8.3572e-07
342.6	8.251e-07
342.8	8.1461e-07
343.0	8.0425e-07
343.2	7.9403e-07
343.4	8.022e-07
343.6	8.1851e-07
343.8	8.3514e-07
344.0	8.5211e-07
344.2	8.6943e-07
344.4	8.8709e-07
344.6	9.0512e-07
344.8	9.2351e-07
345.0	9.4228e-07
345.2	9.6143e-07
345.4	9.8097e-07
345.6	1.0009e-06
345.8	1.0212e-06
346.0	1.0175e-06
346.2	8.8087e-07
346.4	7.6261e-07
346.6	6.6023e-07
346.8	5.7159e-07
347.0	4.9486e-07
347.2	4.2842e-07
347.4	3.709e-07
347.6	3.2111e-07
347.8	2.78e-07
348.0	2.4068e-07
348.2	2.0837e-07
348.4	1.8039e-07
348.6	1.5618e-07
348.8	1.3521e-07
349.0	1.1706e-07
349.2	1.0134e-07
349.4	8.7737e-08
349.6	7.5958e-08
349.8	7.5284e-08
350.0	7.5439e-08
350.2	7.5594e-08
350.4	7.5749e-08
350.6	7.5905e-08
350.8	7.6061e-08
351.0	7.6217e-08
351.2	7.6374e-08
351.4	7.6531e-08
351.6	7.6688e-08
351.8	7.6846e-08
352.0	7.7004e-08
352.2	7.7162e-08
352.4	7.732e-08
352.6	7.7479e-08
352.8	7.7639e-08
353.0	7.7798e-08
353.2	7.7958e-08
353.4	7.7697e-08
353.6	7.7257e-08
353.8	7.6819e-08
354.0	7.6384e-08
354.2	7.5952e-08
354.4	7.5522e-08
354.6	7.5094e-08
354.8	7.4669e-08
355.0	7.4246e-08
355.2	7.3826e-08
355.4	7.3407e-08
355.6	7.2992e-08
355.8	7.2579e-08
356.0	7.3876e-08
356.2	8.5431e-08
356.4	9.8792e-08
356.6	1.1424e-07
356.8	1.3211e-07
357.0	1.5277e-07
357.2	1.7667e-07
357.4	2.043e-07
357.6	2.3625e-07
357.8	2.732e-07
358.0	3.1592e-07
358.2	3.6533e-07
358.4	4.2247e-07
358.6	4.8854e-07
358.8	5.6495e-07
359.0	6.5331e-07
359.2	7.5548e-07
359.4	8.7364e-07
359.6	1.0103e-06
359.8	8.8698e-07
360.0	7.6516e-07
360.2	6.6007e-07
360.4	5.6941e-07
360.6	4.912e-07
360.8	4.2374e-07
361.0	3.6554e-07
361.2	3.1534e-07
361.4	2.7203e-07
361.6	2.3467e-07
361.8	2.0244e-07
362.0	1.7463e-07
362.2	1.5065e-07
362.4	1.2996e-07
362.6	1.1211e-07
362.8	9.671e-08
363.0	8.3428e-08
363.2	7.1969e-08
363.4	6.9112e-08
363.6	6.9195e-08
363.8	6.9278e-08
364.0	6.936e-08
364.2	6.9443e-08
364.4	6.9526e-08
364.6	6.961e-08
364.8	6.9693e-08
365.0	6.9776e-08
365.2	6.986e-08
365.4	6.9943e-08
365.6	7.0027e-08
365.8	7.0111e-08
366.0	7.1146e-08
366.2	7.6761e-08
366.4	8.282e-08
366.6	8.9357e-08
366.8	9.6409e-08
367.0	1.0402e-07
367.2	1.1223e-07
367.4	1.2109e-07
367.6	1.3064e-07
367.8	1.4096e-07
368.0	1.5208e-07
368.2	1.6409e-07
368.4	1.7704e-07
368.6	1.9101e-07
368.8	2.0609e-07
369.0	2.2235e-07
369.2	2.399e-07
369.4	2.5884e-07
369.6	2.7927e-07
369.8	2.8364e-07
370.0	2.8678e-07
370.2	2.8994e-07
370.4	2.9315e-07
370.6	2.9639e-07
370.8	2.9966e-07
371.0	3.0297e-07
371.2	3.0632e-07
371.4	3.0971e-07
371.6	3.1313e-07
371.8	3.1659e-07
372.0	3.2009e-07
372.2	3.2362e-07
372.4	3.272e-07
372.6	3.3081e-07
372.8	3.3447e-07
373.0	3.3816e-07
373.2	3.419e-07
373.4	3.6059e-07
373.6	3.8794e-07
373.8	4.1736e-07
374.0	4.4901e-07
374.2	4.8307e-07
374.4	5.197e-07
374.6	5.5912e-07
374.8	6.0152e-07
375.0	6.4714e-07
375.2	6.9622e-07
375.4	7.4902e-07
375.6	8.0583e-07
375.8	8.6694e-07
376.0	9.0793e-07
376.2	8.1642e-07
376.4	7.3413e-07
376.6	6.6013e-07
376.8	5.9359e-07
377.0	5.3376e-07
377.2	4.7996e-07
377.4	4.3158e-07
377.6	3.8808e-07
377.8	3.4896e-07
378.0	3.1379e-07
378.2	2.8216e-07
378.4	2.5372e-07
378.6	2.2814e-07
378.8	2.0515e-07
379.0	1.8447e-07
379.2	1.6588e-07
379.4	1.4916e-07
379.6	1.3412e-07
379.8	1.2812e-07
380.0	1.2294e-07
380.2	1.1797e-07
380.4	1.132e-07
380.6	1.0862e-07
380.8	1.0423e-07
381.0	1.0002e-07
381.2	9.5977e-08
381.4	9.2097e-08
381.6	8.8374e-08
381.8	8.4802e-08
382.0	8.1374e-08
382.2	7.8085e-08
382.4	7.4929e-08
382.6	7.19e-08
382.8	6.8994e-08
383.0	6.7326e-08
383.2	6.7007e-08
383.4	6.6689e-08
383.6	6.6373e-08
383.8	6.6058e-08
384.0	6.5745e-08
384.2	6.5434e-08
384.4	6.5123e-08
384.6	6.4815e-08
384.8	6.4507e-08
385.0	6.4202e-08
385.2	6.3897e-08
385.4	6.3594e-08
385.6	6.3293e-08
385.8	6.6093e-08
386.0	6.9249e-08
386.2	7.2554e-08
386.4	7.6018e-08
386.6	7.9647e-08
386.8	8.345e-08
387.0	8.7434e-08
387.2	9.1608e-08
387.4	9.5981e-08
387.6	1.0056e-07
387.8	1.0536e-07
388.0	1.1039e-07
388.2	1.1566e-07
388.4	1.2576e-07
388.6	1.4408e-07
388.8	1.6507e-07
389.0	1.8912e-07
389.2	2.1667e-07
389.4	2.4823e-07
389.6	2.8439e-07
389.8	3.2581e-07
390.0	3.7327e-07
390.2	4.2765e-07
390.4	4.8994e-07
390.6	5.6131e-07
390.8	4.9695e-07
391.0	3.8177e-07
391.2	2.9329e-07
391.4	2.2531e-07
391.6	1.7309e-07
391.8	1.3297e-07
392.0	1.0215e-07
392.2	7.8478e-08
392.4	6.0289e-08
392.6	4.6316e-08
392.8	3.5581e-08
393.0	2.7334e-08
393.2	2.0999e-08
393.4	1.6132e-08
393.6	1.6026e-08
393.8	1.5921e-08
394.0	1.5817e-08
394.2	1.5714e-08
394.4	1.5611e-08
394.6	1.5509e-08
394.8	1.5407e-08
395.0	1.5306e-08
395.2	1.5206e-08
395.4	1.5106e-08
395.6	1.5008e-08
395.8	1.4909e-08
396.0	1.4812e-08
396.2	1.4715e-08
396.4	1.4618e-08
396.6	1.4523e-08
396.8	1.4428e-08
397.0	1.4551e-08
397.2	1.5301e-08
397.4	1.6089e-08
397.6	1.6919e-08
397.8	1.7791e-08
398.0	1.8708e-08
398.2	1.9672e-08
398.4	2.0686e-08
398.6	2.1753e-08
398.8	2.2874e-08
399.0	2.4053e-08
399.2	2.5293e-08
399.4	2.6597e-08
399.6	2.7967e-08
399.8	2.9409e-08
400.0	3.0925e-08
400.2	3.2519e-08
400.4	3.4195e-08
400.6	3.5958e-08
400.8	3.7811e-08
401.0	3.9761e-08
401.2	4.181e-08
401.4	4.3965e-08
401.6	4.6231e-08
401.8	4.8615e-08
402.0	4.9869e-08
402.2	4.7395e-08
402.4	4.5044e-08
402.6	4.281e-08
402.8	4.0686e-08
403.0	3.8668e-08
403.2	3.675e-08
403.4	3.4927e-08
403.6	3.3194e-08
403.8	3.1547e-08
404.0	2.9982e-08
404.2	2.8495e-08
404.4	2.7081e-08
404.6	2.5738e-08
404.8	2.4461e-08
405.0	2.3248e-08
405.2	2.2095e-08
405.4	2.0999e-08
405.6	1.9957e-08
405.8	1.8967e-08
406.0	1.8026e-08
406.2	1.7132e-08
406.4	1.6282e-08
406.6	1.5474e-08
406.8	1.4707e-08
407.0	1.4466e-08
407.2	1.5964e-08
407.4	1.7617e-08
407.6	1.9442e-08
407.8	2.1455e-08
408.0	2.3677e-08
408.2	2.6129e-08
408.4	2.8835e-08
408.6	3.1821e-08
408.8	3.5117e-08
409.0	3.8753e-08
409.2	4.2767e-08
409.4	4.7196e-08
409.6	5.2083e-08
409.8	5.7477e-08
410.0	6.343e-08
410.2	6.9999e-08
410.4	7.7248e-08
410.6	8.5248e-08
410.8	9.4076e-08
411.0	1.0382e-07
411.2	1.1457e-07
411.4	1.2644e-07
411.6	1.3953e-07
411.8	1.5398e-07
412.0	1.6176e-07
412.2	1.4477e-07
412.4	1.2956e-07
412.6	1.1595e-07
412.8	1.0377e-07
413.0	9.2869e-08
413.2	8.3113e-08
413.4	7.4382e-08
413.6	6.6568e-08
413.8	5.9575e-08
414.0	5.3317e-08
414.2	4.7716e-08
414.4	4.2704e-08
414.6	3.8218e-08
414.8	3.4203e-08
415.0	3.061e-08
415.2	2.7394e-08
415.4	2.4517e-08
415.6	2.1941e-08
415.8	1.9636e-08
416.0	1.7573e-08
416.2	1.5727e-08
416.4	1.4075e-08
416.6	1.2597e-08
416.8	1.1273e-08
417.0	1.0633e-08
417.2	1.1789e-08
417.4	1.3071e-08
417.6	1.4493e-08
417.8	1.6069e-08
418.0	1.7817e-08
418.2	1.9755e-08
418.4	2.1904e-08
418.6	2.4286e-08
418.8	2.6927e-08
419.0	2.9856e-08
419.2	3.3103e-08
419.4	3.6704e-08
419.6	4.0696e-08
419.8	4.5122e-08
420.0	5.0029e-08
420.2	5.5471e-08
420.4	6.1504e-08
420.6	6.8193e-08
420.8	7.561e-08
421.0	8.3833e-08
421.2	9.2951e-08
421.4	1.0306e-07
421.6	1.1427e-07
421.8	1.267e-07
422.0	1.3849e-07
422.2	1.4431e-07
422.4	1.5039e-07
422.6	1.5671e-07
422.8	1.633e-07
423.0	1.7017e-07
423.2	1.7733e-07
423.4	1.8479e-07
423.6	1.9257e-07
423.8	2.0067e-07
424.0	2.0911e-07
424.2	2.1791e-07
424.4	2.2707e-07
424.6	2.3663e-07
424.8	2.4658e-07
