Wavelength (nm),% Transmission,,,,,,,,,,
270,0.00387550,,,,,,,,,,
270.2,0.00386630,,,,,,,,,,
270.4,0.00385700,,,,,,,,,,
270.6,0.00384780,,,,,,,,,,
270.8,0.00383860,,,,,,,,,,
271,0.00382940,,,,,,,,,,
271.2,0.00382030,,,,,,,,,,
271.4,0.00381110,,,,,,,,,,
271.6,0.00380200,,,,,,,,,,
271.8,0.00379290,,,,,,,,,,
272,0.00378380,,,,,,,,,,
272.2,0.00377480,,,,,,,,,,
272.4,0.00376950,,,,,,,,,,
272.6,0.00377610,,,,,,,,,,
272.8,0.00378280,,,,,,,,,,
273,0.00378950,,,,,,,,,,
273.2,0.00379610,,,,,,,,,,
273.4,0.00380280,,,,,,,,,,
273.6,0.00380960,,,,,,,,,,
273.8,0.00381630,,,,,,,,,,
274,0.00382300,,,,,,,,,,
274.2,0.00382980,,,,,,,,,,
274.4,0.00383650,,,,,,,,,,
274.6,0.00384330,,,,,,,,,,
274.8,0.00385010,,,,,,,,,,
275,0.00385690,,,,,,,,,,
275.2,0.00366510,,,,,,,,,,
275.4,0.00348290,,,,,,,,,,
275.6,0.00337540,,,,,,,,,,
275.8,0.00335900,,,,,,,,,,
276,0.00334280,,,,,,,,,,
276.2,0.00332670,,,,,,,,,,
276.4,0.00331060,,,,,,,,,,
276.6,0.00329460,,,,,,,,,,
276.8,0.00327870,,,,,,,,,,
277,0.00326280,,,,,,,,,,
277.2,0.00324700,,,,,,,,,,
277.4,0.00323130,,,,,,,,,,
277.6,0.00321570,,,,,,,,,,
277.8,0.00320020,,,,,,,,,,
278,0.00318470,,,,,,,,,,
278.2,0.00316930,,,,,,,,,,
278.4,0.00315400,,,,,,,,,,
278.6,0.00311630,,,,,,,,,,
278.8,0.00290510,,,,,,,,,,
279,0.00270810,,,,,,,,,,
279.2,0.00252460,,,,,,,,,,
279.4,0.00235350,,,,,,,,,,
279.6,0.00219390,,,,,,,,,,
279.8,0.00204520,,,,,,,,,,
280,0.00190660,,,,,,,,,,
280.2,0.00177740,,,,,,,,,,
280.4,0.00165690,,,,,,,,,,
280.6,0.00154460,,,,,,,,,,
280.8,0.00143990,,,,,,,,,,
281,0.00134230,,,,,,,,,,
281.2,0.00125130,,,,,,,,,,
281.4,0.00116650,,,,,,,,,,
281.6,0.00108740,,,,,,,,,,
281.8,0.00109620,,,,,,,,,,
282,0.00112760,,,,,,,,,,
282.2,0.00115980,,,,,,,,,,
282.4,0.00119300,,,,,,,,,,
282.6,0.00122720,,,,,,,,,,
282.8,0.00126230,,,,,,,,,,
283,0.00129840,,,,,,,,,,
283.2,0.00133550,,,,,,,,,,
283.4,0.00137380,,,,,,,,,,
283.6,0.00141310,,,,,,,,,,
283.8,0.00145350,,,,,,,,,,
284,0.00149510,,,,,,,,,,
284.2,0.00153790,,,,,,,,,,
284.4,0.00158190,,,,,,,,,,
284.6,0.00162710,,,,,,,,,,
284.8,0.00160560,,,,,,,,,,
285,0.00151740,,,,,,,,,,
285.2,0.00143410,,,,,,,,,,
285.4,0.00135530,,,,,,,,,,
285.6,0.00128080,,,,,,,,,,
285.8,0.00121040,,,,,,,,,,
286,0.00114390,,,,,,,,,,
286.2,0.00108110,,,,,,,,,,
286.4,0.00102170,,,,,,,,,,
286.6,0.00096556,,,,,,,,,,
286.8,0.00091251,,,,,,,,,,
287,0.00086238,,,,,,,,,,
287.2,0.00081500,,,,,,,,,,
287.4,0.00077022,,,,,,,,,,
287.6,0.00072791,,,,,,,,,,
287.8,0.00069597,,,,,,,,,,
288,0.00070046,,,,,,,,,,
288.2,0.00070497,,,,,,,,,,
288.4,0.00070951,,,,,,,,,,
288.6,0.00071408,,,,,,,,,,
288.8,0.00071868,,,,,,,,,,
289,0.00072331,,,,,,,,,,
289.2,0.00072797,,,,,,,,,,
289.4,0.00073266,,,,,,,,,,
289.6,0.00073739,,,,,,,,,,
